"","team","league","transfer.fee.total","lon","lat"
"1"," Cologne FC GERMANY","Bundesliga",4.34,NA,NA
"2","FSV Mainz  GERMANY","Bundesliga",20.1,8.0015825,50.005679
"3","AC Milan ITALY","Serie A",21.26,9.1392456,45.5120844
"4","Alavés SPAIN","La Liga",4.74,-2.6983868,42.9099989
"5","Arsenal UK","Premier league",96.05,-0.1057342,51.5584654
"6","AS Roma ITALY","Serie A",70.48,14.3033475,41.0601645
"7","Atalanta ITALY","Serie A",6.46,12.4330341,43.0882655
"8","Atlético Madrid SPAIN","La Liga",68.17,-3.7423397,40.3757325
"9","Bay Leverkusen GERMANY","Bundesliga",36.635,6.9946126,51.0157534
"10","Bayern Munich  GERMANY","Bundesliga",59.5,11.5819806,48.1351253
"11","Bologna ITALY","Serie A",20.165,11.3426163,44.494887
"12","Bor Dortmund GERMANY","Bundesliga",93.29,7.3714033,51.4918469
"13","Bor M'gladbach GERMANY","Bundesliga",25.08,6.7699489,49.9352107
"14","Bournemouth UK","Premier league",31.8,-1.880769,50.719164
"15","Burnley FC UK","Premier league",19.89,NA,NA
"16","CA Osasuna SPAIN","La Liga",1.875,-6.1489372,36.4117625
"17","Cagliari Calcio ITALY","Serie A",8.08,9.0901144,39.2132322
"18","CD Leganés SPAIN","La Liga",3.57,-3.7686545,40.3319506
"19","Celta de Vigo SPAIN","La Liga",5.95,NA,NA
"20","Chelsea UK","Premier league",115.86,-0.174936,51.485093
"21","Chievo Verona ITALY","Serie A",4.51,10.9466529,45.4575193
"22","Crotone ITALY","Serie A",4.294,17.1271102,39.0807932
"23","Crystal Palace UK","Premier league",49.815,-0.0785415,51.4198825
"24","Dep La Coruña SPAIN","La Liga",4.08,-8.4329001,43.3588448
"25","Dijon FRANCE","Ligue 1",1.403,5.04148,47.322047
"26","E Frankfurt GERMANY","Bundesliga",1.87,8.6821267,50.1109221
"27","Espanyol SPAIN","La Liga",9.95,2.641692,39.6293694
"28","Everton UK","Premier league",45.23,-1.5919542,50.7459045
"29","Augsburg FC GERMANY","Bundesliga",15.9,10.89779,48.3705449
"30","FC Barcelona SPAIN","La Liga",93.29,2.1178229,41.3806915
"31","FC Empoli ITALY","Serie A",2.72,12.2253049,44.1325193
"32","FC Ingolstadt GERMANY","Bundesliga",5.53,11.4257541,48.7665351
"33","FC Lorient FRANCE","Ligue 1",3.745,NA,NA
"34","FC Nantes FRANCE","Ligue 1",4.845,-1.553621,47.218371
"35","FC Schalke  GERMANY","Bundesliga",30.015,NA,NA
"36","Fiorentina ITALY","Serie A",7.91,10.5355882,42.9636137
"37","G Bordeaux FRANCE","Ligue 1",2.98,-0.57918,44.837789
"38","Genoa ITALY","Serie A",11.603,8.946256,44.4056499
"39","Granada CF SPAIN","La Liga",7.458,-3.0106774,36.7460566
"40","Hamburger SV GERMANY","Bundesliga",27.343,9.9044926,53.6617101
"41","Hertha Berlin GERMANY","Bundesliga",5.7,13.2802528,52.4876874
"42","Hull City UK","Premier league",18.79,-0.3367413,53.7456709
"43","Inter Milan ITALY","Serie A",135.425,9.314365,45.659238
"44","Juventus Turin ITALY","Serie A",131.33,7.61394,44.97794
"45","Lazio ITALY","Serie A",29.76,12.989615,41.6552418
"46","Leicester UK","Premier league",62.91,-1.1397592,52.6368778
"47","Liverpool UK","Premier league",62.65,-2.9915726,53.4083714
"48","LOSC Lille FRANCE","Ligue 1",3.83,3.057256,50.62925
"49","Málaga CF SPAIN","La Liga",8.585,-4.4212655,36.721261
"50","Manchester City UK","Premier league",161.76,-2.2426305,53.4807593
"51","Manchester Utd UK","Premier league",157.25,-2.2906546,53.4622546
"52","Marseille FRANCE","Ligue 1",8.67,5.36978,43.296482
"53","Middlesbrough UK","Premier league",21.26,-1.234956,54.574227
"54","Monaco FRANCE","Ligue 1",35.7,7.420816,43.737411
"55","OGC Nice FRANCE","Ligue 1",11.695,NA,NA
"56","Olympique Lyon FRANCE","Ligue 1",8.93,4.9767765,45.7690226
"57","Paris SG FRANCE","Ligue 1",64.26,2.3350238,48.8533958
"58","Pescara ITALY","Serie A",8.968,14.2160898,42.4617902
"59","RB Leipzig GERMANY","Bundesliga",39.78,12.3515611,51.3461081
"60","Real Betis SPAIN","La Liga",18.29,-3.7418583,40.376344
"61","Real Madrid SPAIN","La Liga",25.5,-3.7388727,40.3626461
"62","Real Sociedad SPAIN","La Liga",9.35,-1.9748447,43.3081034
"63","Rennes FRANCE","Ligue 1",1.93,-1.6777926,48.117266
"64","Saint-Étienne FRANCE","Ligue 1",5.95,4.3871779,45.439695
"65","Sampdoria ITALY","Serie A",27.125,8.9526748,44.4155383
"66","Sassuolo ITALY","Serie A",18.38,10.7847741,44.54433
"67","SC Bastia FRANCE","Ligue 1",0.213,9.450881,42.697283
"68","SC Freiburg GERMANY","Bundesliga",7.528,8.274477,48.084436
"69","SCO Angers FRANCE","Ligue 1",2.635,-0.563166,47.478419
"70","SD Eibar SPAIN","La Liga",7.155,-2.4715422,43.1832096
"71","Sevilla FC SPAIN","La Liga",47.78,NA,NA
"72","SM Caen FRANCE","Ligue 1",3.618,NA,NA
"73","Southampton UK","Premier league",40.13,-1.4043509,50.9097004
"74","Sporting Gijón SPAIN","La Liga",0.255,-5.6386025,43.5347956
"75","Spurs UK","Premier league",70.13,-2.229091,53.3495191
"76","SSC Napoli ITALY","Serie A",61.21,14.2681244,40.8517746
"77","Stoke City UK","Premier league",17.68,-2.179404,53.002668
"78","Sunderland UK","Premier league",30.518,-1.383801,54.906869
"79","SV Darmstadt  GERMANY","Bundesliga",2.338,8.927711,50.108607
"80","Swansea UK","Premier league",32.23,-3.943646,51.62144
"81","Torino ITALY","Serie A",17.785,7.6868565,45.070312
"82","Toulouse FRANCE","Ligue 1",5.955,1.444209,43.604652
"83","TSG Hoffenheim GERMANY","Bundesliga",19.81,NA,NA
"84","UD Las Palmas SPAIN","La Liga",2.04,-15.6662369,28.1475193
"85","Udinese Calcio ITALY","Serie A",11.48,13.2056341,46.0408771
"86","FC Palermo ITALY","Serie A",6.13,12.4181018,44.1047981
"87","Valencia CF SPAIN","La Liga",28.91,-0.5104759,39.0643597
"88","VfL Wolfsburg GERMANY","Bundesliga",41.66,10.7979685,52.4257066
"89","Villarreal CF SPAIN","La Liga",47.86,-0.1165001,39.9391986
"90","Watford UK","Premier league",57.34,-0.39032,51.656489
"91","Werder Bremen GERMANY","Bundesliga",20.25,8.809285,53.0696545
"92","West Brom UK","Premier league",22.45,-1.995159,52.517664
"93","West Ham UK","Premier league",42.17,0.014525,51.538265
