"","Team","league","Status"
"1","Chelsea","Premier league","Top Club"
"2","Manchester City","Premier league","Top Club"
"3","Arsenal","Premier league","Top Club"
"4","Manchester Utd.","Premier league","Top Club"
"5","Spurs","Premier league","Top Club"
"6","Liverpool","Premier league","Middle Club"
"7","Southampton","Premier league","Middle Club"
"8","Swansea","Premier league","Middle Club"
"9","Stoke City","Premier league","Middle Club"
"10","Crystal Palace","Premier league","Middle Club"
"11","Everton","Premier league","Middle Club"
"12","West Ham","Premier league","Middle Club"
"13","West Brom","Premier league","Middle Club"
"14","Leicester","Premier league","Middle Club"
"15","Newcastle United","Premier league","Middle Club"
"16","Sunderland","Premier league","Buttom Club"
"17","Aston Villa","Premier league","Buttom Club"
"18","Hull City","Premier league","Buttom Club"
"19","Burnley FC","Premier league","Buttom Club"
"20","QPR","Premier league","Buttom Club"
"21","Bayern Munich","Bundesliga","Top Club"
"22","VfL Wolfsburg","Bundesliga","Top Club"
"23","Bor. M'gladbach","Bundesliga","Top Club"
"24","Bay. Leverkusen","Bundesliga","Top Club"
"25","FC Augsburg","Bundesliga","Top Club"
"26","FC Schalke 04","Bundesliga","Middle Club"
"27","Bor. Dortmund","Bundesliga","Middle Club"
"28","TSG Hoffenheim","Bundesliga","Middle Club"
"29","E. Frankfurt","Bundesliga","Middle Club"
"30","Werder Bremen","Bundesliga","Middle Club"
"31","1.FSV Mainz 05","Bundesliga","Middle Club"
"32","1. FC Köln","Bundesliga","Middle Club"
"33","Hannover 96","Bundesliga","Middle Club"
"34","VfB Stuttgart","Bundesliga","Middle Club"
"35","Hertha BSC","Bundesliga","Middle Club"
"36","Hamburger SV","Bundesliga","Buttom Club"
"37","SC Freiburg","Bundesliga","Buttom Club"
"38","SC Paderborn","Bundesliga","Buttom Club"
"39","FC Barcelona","La Liga","Top Club"
"40","Real Madrid","La Liga","Top Club"
"41","Atlético Madrid","La Liga","Top Club"
"42","Valencia CF","La Liga","Top Club"
"43","Sevilla FC","La Liga","Top Club"
"44","Villarreal CF","La Liga","Middle Club"
"45","Athletic Bilbao","La Liga","Middle Club"
"46","Celta de Vigo","La Liga","Middle Club"
"47","Málaga CF","La Liga","Middle Club"
"48","Espanyol","La Liga","Middle Club"
"49","Rayo Vallecano","La Liga","Middle Club"
"50","Real Sociedad","La Liga","Middle Club"
"51","Elche CF","La Liga","Middle Club"
"52","Levante UD","La Liga","Middle Club"
"53","Getafe CF","La Liga","Middle Club"
"54","Deportivo La Coruña","La Liga","Buttom Club"
"55","Granada CF","La Liga","Buttom Club"
"56","SD Eibar","La Liga","Buttom Club"
"57","UD Almería","La Liga","Buttom Club"
"58","Córdoba CF","La Liga","Buttom Club"
"59","Juventus","Serie A","Top Club"
"60","AS Roma","Serie A","Top Club"
"61","Lazio","Serie A","Top Club"
"62","Fiorentina","Serie A","Top Club"
"63","SSC Napoli","Serie A","Top Club"
"64","Genoa","Serie A","Middle Club"
"65","Sampdoria","Serie A","Middle Club"
"66","Inter","Serie A","Middle Club"
"67","Torino","Serie A","Middle Club"
"68","AC Milan","Serie A","Middle Club"
"69","US Palermo","Serie A","Middle Club"
"70","Sassuolo","Serie A","Middle Club"
"71","Hellas Verona","Serie A","Middle Club"
"72","Chievo Verona","Serie A","Middle Club"
"73","FC Empoli","Serie A","Middle Club"
"74","Udinese Calcio","Serie A","Buttom Club"
"75","Atalanta","Serie A","Buttom Club"
"76","Cagliari Calcio","Serie A","Buttom Club"
"77","Cesena","Serie A","Buttom Club"
"78","Parma","Serie A","Buttom Club"
"79","Paris SG","Ligue 1","Top Club"
"80","Olympique Lyon","Ligue 1","Top Club"
"81","Monaco","Ligue 1","Top Club"
"82","Marseille","Ligue 1","Top Club"
"83","Saint-Étienne","Ligue 1","Top Club"
"84","G. Bordeaux","Ligue 1","Middle Club"
"85","Montpellier","Ligue 1","Middle Club"
"86","LOSC Lille","Ligue 1","Middle Club"
"87","Rennes","Ligue 1","Middle Club"
"88","Guingamp","Ligue 1","Middle Club"
"89","OGC Nice","Ligue 1","Middle Club"
"90","SC Bastia","Ligue 1","Middle Club"
"91","SM Caen","Ligue 1","Middle Club"
"92","FC Nantes","Ligue 1","Middle Club"
"93","Reims","Ligue 1","Middle Club"
"94","FC Lorient","Ligue 1","Buttom Club"
"95","Toulouse","Ligue 1","Buttom Club"
"96","Evian","Ligue 1","Buttom Club"
"97","FC Metz","Ligue 1","Buttom Club"
"98","RC Lens","Ligue 1","Buttom Club"
